UTM 10X10,COUNTRY,Tmax30-REM 1971-2000,Tmax30nd5d-REM 1971-2000,TmaxAvemin-REM 1971-2000,TmaxAvemin5d-REM 1971-2000,Tmax30-WRA 1971-2000,Tmax30nd5d-WRA 1971-2000,TmaxAvemin-WRA 1971-2000,TmaxAvemin5d-WRA 1971-2000,Tmax30-WRB 1971-2000,Tmax30nd5d-WRB 1971-2000,TmaxAvemin-WRB 1971-2000,TmaxAvemin5d-WRB 1971-2000,Tmax30-PRO 1971-2000,Tmax30nd5d-PRO 1971-2000,TmaxAvemin-PRO 1971-2000,TmaxAvemin5d-PRO 1971-2000,Tmax30-MM5 1971-2000,Tmax30nd5d-MM5 1971-2000,TmaxAvemin-MM5 1971-2000,TmaxAvemin5d-MM5 1971-2000,PrAvemax-REM 1971-2000,PrAvemax5d-REM 1971-2000,Pr1mm-REM 1971-2000,Pr1mm5d-REM 1971-2000,PrAvemax-WRA 1971-2000,PrAvemax5d-WRA 1971-2000,Pr1mm-WRA 1971-2000,Pr1mm5d-WRA 1971-2000,PrAvemax-WRB 1971-2000,PrAvemax5d-WRB 1971-2000,Pr1mm-WRB 1971-2000,Pr1mm5d-WRB 1971-2000,PrAvemax-PRO 1971-2000,PrAvemax5d-PRO 1971-2000,Pr1mm-PRO 1971-2000,Pr1mm5d-PRO 1971-2000,PrAvemax-MM5 1971-2000,PrAvemax5d-MM5 1971-2000,Pr1mm-MM5 1971-2000,Pr1mm5d-MM5 1971-2000,Hum-relat-REM 1971-2000,Hum-relat-WRA 1971-2000,Hum-relat-WRB 1971-2000,Hum-relat-PRO 1971-2000,Hum-relat-MM5 1971-2000,Tmax30-REM 2021-2050,Tmax30nd5d-REM 2021-2050,TmaxAvemin-REM 2021-2050,TmaxAvemin5d-REM 2021-2050,Tmax30-WRA 2021-2050,Tmax30nd5d-WRA 2021-2050,TmaxAvemin-WRA 2021-2050,TmaxAvemin5d-WRA 2021-2050,Tmax30-WRB 2021-2050,Tmax30nd5d-WRB 2021-2050,TmaxAvemin-WRB 2021-2050,TmaxAvemin5d-WRB 2021-2050,Tmax30-PRO 2021-2050,Tmax30nd5d-PRO 2021-2050,TmaxAvemin-PRO 2021-2050,TmaxAvemin5d-PRO 2021-2050,Tmax30-MM5 2021-2050,Tmax30nd5d-MM5 2021-2050,TmaxAvemin-MM5 2021-2050,TmaxAvemin5d-MM5 2021-2050,PrAvemax-REM 2021-2050,PrAvemax5d-REM 2021-2050,Pr1mm-REM 2021-2050,Pr1mm5d-REM 2021-2050,PrAvemax-WRA 2021-2050,PrAvemax5d-WRA 2021-2050,Pr1mm-WRA 2021-2050,Pr1mm5d-WRA 2021-2050,PrAvemax-WRB 2021-2050,PrAvemax5d-WRB 2021-2050,Pr1mm-WRB 2021-2050,Pr1mm5d-WRB 2021-2050,PrAvemax-PRO 2021-2050,PrAvemax5d-PRO 2021-2050,Pr1mm-PRO 2021-2050,Pr1mm5d-PRO 2021-2050,PrAvemax-MM5 2021-2050,PrAvemax5d-MM5 2021-2050,Pr1mm-MM5 2021-2050,Pr1mm5d-MM5 2021-2050,Hum-relat-REM 2021-2050,Hum-relat-WRA 2021-2050,Hum-relat-WRB 2021-2050,Hum-relat-PRO 2021-2050,Hum-relat-MM5 2021-2050
PB04,PORTUGAL,103.1,16.17,22.07,0.97,69.37,9.17,17.07,0.63,66.33,8.57,17.27,0.5,95.67,14.6,39.1,2.5,61.77,7.53,10.23,0.33,53.2,1.13,312.57,49.63,59.2,2.07,304.73,48.7,60.73,2.17,301.03,48.3,66.57,2.77,282.53,43.47,54.63,1.53,302.03,46.8,63.1,70.32,66.89,75.4,67.47,121.23,18.57,24.23,1.03,83.13,11.9,13.03,0.3,81.03,11.07,15.07,0.4,112.57,17.6,35.13,1.53,75.5,9.7,10.3,0.23,48.2,1.37,320.47,51.8,58.13,1.8,311.23,49.93,58.13,2.1,307.77,49.4,63.53,2.8,295.63,46.7,80.5,2.17,259.13,32.87,60.9,69.36,66.09,73.4,66.97
PB01,PORTUGAL,82.6,12.03,28.57,1.4,56.77,6.37,22.47,0.97,52.57,5.4,25.43,0.97,62.57,7.97,49.03,3.4,55.9,6.27,16.87,0.77,50.07,1.9,307.63,50.17,54.7,1.83,304.33,49.67,55.9,1.97,299.5,48.37,56.37,2.43,291.17,46.6,51.43,1.6,307.43,48.83,65.13,71.01,67.6,76.1,66.42,102.9,15.7,33.53,2.13,73.33,9.57,18.13,0.33,70.33,9.13,22.3,0.7,91.8,13.37,46.6,2.8,72.9,9.93,17.63,0.57,46.1,2,315.8,52.43,53.13,1.97,310.7,50.8,54.67,2.27,307.23,49.7,52.73,2.57,300.67,48.63,76.2,2.03,266.37,34.07,63.14,70.19,66.75,74.71,65.89
PB02,PORTUGAL,97.17,15.23,21.1,0.87,59.8,6.83,20.67,0.83,56.93,6.07,21.7,0.63,91.7,13.97,39.47,2.5,59.57,7.03,12.37,0.5,45.97,0.97,318.63,52.1,53.7,1.73,305.1,49.1,55.57,2.03,301.53,48.57,57.7,2.47,286.8,45.5,52.33,1.57,304.9,48.43,64.93,70.9,67.76,76.17,67.06,115.77,17.47,24.03,0.97,74.73,9.8,16.3,0.3,73.6,9.73,19.03,0.5,110.2,17.23,36.43,1.73,75.27,10.23,12.8,0.3,42.07,1.23,324.6,53.87,52.7,1.7,311.93,50.87,53.17,1.9,308.6,49.77,54.27,2.7,296.67,47.5,77.83,2,262.7,33.1,62.66,70.14,66.93,74.23,66.54
PE01,PORTUGAL,56.9,7.03,34.07,1.6,37.5,3.6,43,2.77,37.3,3.6,50.5,3.23,57.8,7.37,49.9,3.23,29.73,2.1,23.3,0.97,70.6,3.03,269.9,39.9,75.7,4.37,257.93,38.53,75.13,4.27,257.2,38.47,82.63,5.7,235.93,33.97,71.63,3.27,266,38.47,69.02,72.85,69.23,78.55,70.08,74.8,9.6,42.83,2.93,47.7,5.2,42.43,2.3,47.27,5.3,53.4,3.57,67.47,9,50.17,3,37.77,3.07,25.07,0.83,67.17,2.87,278.97,42.73,72.93,3.53,265.77,40.47,73.53,3.93,262.5,40.1,81.03,5.03,243.03,35.43,90.93,3.4,229.17,28.93,67.69,72.58,69.17,78.43,70.38
PE02,PORTUGAL,50.2,5.8,33.6,1.47,31.27,2.73,47.83,3.17,30.4,2.4,53.77,3.53,55.03,6.77,50.63,3.3,24.1,1.4,26.47,1.3,73.73,3.27,264.77,38.6,77.6,4.6,255.83,38.03,77.1,4.37,254.13,37.6,88.77,6.1,221.77,30.23,73.77,3.63,259.8,37,69.28,73.44,70.43,79.6,70.93,68.2,8.3,42.37,2.77,41.97,4.53,47.9,3.1,41.53,4.37,56.13,3.97,69.03,9.47,50.73,3,31.93,2.27,28.93,1.13,71.3,3.13,273.53,41.23,74.23,3.5,262.57,39.37,75.2,4.1,259.73,39.27,86.93,6.07,227.8,31.23,93.33,3.6,222.5,27.7,67.99,73.16,70.35,79.49,71.25
PD09,PORTUGAL,68.77,8.93,33.47,1.57,48.83,5.57,32.3,1.5,47.23,5.4,45.6,2.4,73.13,10.37,46.3,2.7,39.9,3.53,18.37,0.67,71.93,3.07,267.73,40,74.5,3.97,261.53,39.4,74.37,4,260.4,39.33,78.6,5.13,252.17,37.23,68.5,2.93,274.47,40.3,67.54,72.2,67.4,76.07,68.66,86.33,11.9,41.13,2.83,58.73,7.27,31.03,1.07,57.47,6.9,47.9,2.9,82.43,12.13,45.97,2.73,47.97,4.73,20.2,0.63,68,3.03,278.57,42.47,71.7,3.43,269.6,41.27,72.87,3.9,265.73,40.43,76.33,4.6,259.03,38.53,87.97,3.1,239.6,30.63,66.21,71.84,67.32,75.85,68.93
PE00,PORTUGAL,62.67,8.1,34.17,1.6,43.53,4.73,38.37,2.23,42.67,4.47,48.3,2.73,67.73,9.33,48.43,2.93,35,2.8,20.67,0.83,67.57,2.73,276.03,41.6,74.67,4.2,260.6,39.3,73.57,3.73,260.13,39.03,79.23,5.2,249.73,36.8,69.57,3.07,271.57,39.87,68.75,72.45,68.24,77.22,69.32,80.4,10.8,42.47,2.9,52.77,6.07,37.23,1.7,52,5.97,50.7,3.3,78.87,11.37,48.1,2.9,42.67,4.03,22.63,0.77,63.9,2.57,285.03,43.67,71.03,3.37,268.93,41.17,72.9,3.83,265.83,40.53,76.57,4.43,256.5,38.33,89.23,3.27,235.57,29.8,67.38,72.16,68.18,77.05,69.61
PD07,PORTUGAL,75.33,10.1,30.97,1.33,57.57,7.2,22.27,0.73,56.37,7,38.5,1.87,79.27,11.5,45.37,2.6,47.37,4.87,14.3,0.5,74.57,3.63,265.27,39.87,72.6,3.57,267.83,40.4,74.33,3.93,264.07,39.7,75.7,4.2,258.87,38.27,66.3,2.4,279.67,41.37,67.1,71.9,66.17,75.12,67.76,94.23,13.4,37.9,2.37,66.53,8.63,21.5,0.47,65.63,8,39.9,1.63,88.97,13.3,44,2.53,56.4,5.97,15.8,0.4,69.27,3.2,276.5,42.27,70.43,3.3,273.17,41.6,71.97,3.53,268.87,40.63,73.97,4.1,264.5,39.57,86.2,3,247.13,31.47,65.76,71.44,66.06,74.84,67.98
PD08,PORTUGAL,73.87,9.73,32.33,1.43,53.97,6.53,26.9,1.1,52.87,6.23,42.77,2.13,78.23,11.3,45.4,2.6,45.03,4.53,15.77,0.57,73.17,3.23,265.83,39.8,73.63,3.7,264.67,40,74.67,3.9,262.1,39.27,76.07,4.23,260.4,38.8,66.1,2.47,279.23,41.53,66.68,71.96,66.53,75.12,67.98,92.4,13.07,39.4,2.53,63.57,8.13,26.3,0.77,62.6,7.57,45.13,2.47,87.57,13.03,44.63,2.63,53.83,5.63,18.17,0.5,68.9,3.07,276.3,42.13,70.87,3.13,272.23,41.57,72.1,3.87,267.17,40.43,73.27,4,265.6,40.03,85.43,2.87,247.97,31.97,65.38,71.52,66.44,74.86,68.22
PD05,PORTUGAL,77.53,10.57,28.37,1.2,60.43,7.63,17.6,0.43,59.03,7.4,30.37,1.2,78.83,11.27,45.13,2.57,51.4,5.4,11.9,0.43,73.5,3.47,268.13,40.43,73.67,3.97,269.93,40.9,74.9,4.17,265.53,39.8,79.73,4.9,251.47,36.73,65.63,2.3,281.1,41.5,68.05,71.98,66.33,75.54,67.37,96.5,13.63,35.17,2.03,69.87,8.9,16.43,0.33,67.97,8.53,30.83,1.03,88.07,12.93,43.67,2.4,60.1,6.43,13.63,0.33,67.3,3.07,279.5,42.7,70.57,3.53,274.97,41.53,71.3,3.37,270.9,41.07,77.57,4.8,258.13,37.83,85.83,2.83,249.03,31.8,66.63,71.56,66.17,75.22,67.58
PD06,PORTUGAL,76.1,10.3,29.43,1.27,58.43,7.23,19.83,0.57,57.5,7.23,34.03,1.37,78.2,11.03,45.6,2.67,49.17,5.1,12.8,0.47,74.3,3.47,266.6,40.13,73.63,3.9,268.27,40.37,74.6,4.17,263.6,39.57,78.47,4.7,253.27,37.33,66.23,2.4,280.6,41.5,67.73,72,66.36,75.5,67.54,95.17,13.57,36.5,2.1,67.67,8.6,18.5,0.37,66.57,8.17,35.13,1.27,88.43,13.3,44.2,2.47,58.53,6.17,14.53,0.4,68.37,3.27,277.5,42.67,70.37,3.33,273.83,41.63,72.3,3.5,269.4,40.77,76.77,4.47,259.23,38.2,85.77,2.9,248.13,31.8,66.34,71.55,66.22,75.22,67.76
PD03,PORTUGAL,78.83,10.87,32.73,1.7,62.57,8,16.43,0.4,61.03,7.9,28.4,1.1,80.47,11.47,45.63,2.63,53.07,5.83,11.57,0.43,72.2,3.47,266.37,40.17,72.9,3.8,273.03,41.33,74.07,3.8,267.2,40.37,80.77,4.87,249.43,36,65.43,2.17,282.43,41.93,67.68,71.86,66.34,74.62,67.42,97.67,13.93,38.07,2.4,72.37,9.07,15.4,0.3,70.3,8.63,28.77,0.87,89.87,13.03,44.2,2.5,62.27,6.9,13.07,0.3,67.93,3.3,277.03,42.23,70.13,3.5,276.63,42,71.37,3.63,273.33,41.73,78.17,4.97,257,37.8,85.23,2.6,250,31.43,66.26,71.46,66.12,74.2,67.61
PD04,PORTUGAL,78.4,10.77,30.6,1.47,62.07,7.87,16.87,0.43,59.9,7.73,29.13,1.23,79.8,11.4,45.07,2.47,52.13,5.47,11.93,0.43,73.3,3.5,266.53,40.23,73.17,3.77,271.4,41.13,74.6,4.1,266.1,39.87,80,5,250.27,36.27,66.47,2.23,281.83,41.87,67.87,71.89,66.26,75.03,67.39,96.83,13.67,36.83,2.3,71.2,8.97,15.6,0.3,69.3,8.6,29.4,0.9,88.63,12.8,43.93,2.5,60.97,6.6,13.3,0.33,68.1,3.23,278.07,42.5,70.33,3.5,276.27,41.87,71.27,3.6,271.9,41.5,77.73,5.03,257.2,37.57,85.73,2.8,249,31.5,66.44,71.48,66.07,74.67,67.59
PD01,PORTUGAL,81.6,11.3,30.67,1.5,63.43,8.13,16.7,0.43,61.8,7.9,26.4,1,82.87,11.83,45.4,2.6,53.77,5.97,11.17,0.37,72.4,3.4,271.07,40.77,72.47,3.63,276.8,42.07,73.57,3.93,271.2,41.4,80,4.43,252.67,36.17,64.4,2.03,283.93,42.4,67.46,71.77,66.62,74.18,67.67,100.87,14.53,36.63,2.3,73.23,9.07,14.8,0.33,72.1,9.03,26.2,0.73,93.57,13.9,44.57,2.47,62.97,7.13,12.2,0.27,67.77,2.9,281.43,43.43,70.13,3.07,280.87,43.07,70.3,3.33,276.77,42.3,77.5,4.47,261.17,38.67,86.13,2.57,250.57,31.63,65.99,71.36,66.36,73.63,67.83
PD02,PORTUGAL,79.83,11.1,32.13,1.67,63.07,8.1,16.27,0.4,61.73,7.93,27.07,1.03,82.13,11.77,45.4,2.6,53.47,5.93,11.23,0.4,72.47,3.5,267.97,40.27,72.17,3.53,275.4,41.67,74.07,3.97,269.83,40.9,80.4,4.67,250.27,36.07,65.63,2.2,283.33,42.33,67.56,71.85,66.53,74.55,67.52,99.07,14.17,38.23,2.5,72.97,9,15.03,0.3,71.53,8.9,27.1,0.77,92.63,13.7,44.03,2.47,62.93,7.07,12.43,0.3,67.8,3.13,278.23,42.6,69.6,3.23,279.3,42.3,70.53,3.47,275.2,42.27,77.43,4.57,258.7,38.2,85.13,2.5,249.6,31.33,66.12,71.47,66.29,74.06,67.7
PC09,PORTUGAL,85.13,12.13,28.97,1.4,63.33,8.03,18.53,0.57,61.27,7.83,25.73,1,81,11.4,48.17,2.83,54.63,6.13,11.43,0.33,70.47,2.9,278.4,42,70.47,3.23,282.2,43.53,71.57,3.53,275.3,42.03,80.9,4.3,253.97,36.5,63.8,1.9,285.7,42.83,67.22,71.74,67.15,72.74,67.8,103.27,15.43,34.67,2.07,73.43,9.13,16.07,0.33,71.9,8.93,25.53,0.73,92.13,13.7,47.27,2.77,64.03,7.4,12.27,0.33,64.67,2.77,288,44.43,67.8,2.73,286.87,44.1,67.77,2.93,283.77,43.6,76.37,4.07,262.67,38.73,85.4,2.53,249.63,31.23,65.65,71.21,66.8,72.11,67.91
PD00,PORTUGAL,83.83,11.73,29.97,1.5,63.73,8.13,17,0.43,61.63,7.87,25.67,1,81.8,11.73,46.93,2.63,54.13,6.03,11.1,0.33,71.37,3.07,275.4,41.5,72.1,3.67,279,42.57,72.67,3.77,272.17,41.47,80.63,4.3,253.27,36.43,63.87,1.9,285.23,42.63,67.31,71.73,66.8,73.47,67.81,102.53,15.2,35.4,2.13,73.3,9.07,15.2,0.33,72.27,8.97,25.83,0.77,92.93,13.9,45.93,2.57,63.4,7.23,11.9,0.2,65.97,2.8,284.77,43.93,68.97,3.07,283,43.4,68.97,3.23,279.67,42.7,76.87,4.23,262.23,38.57,85.33,2.57,250.93,31.37,65.81,71.27,66.51,72.88,67.95
PC07,PORTUGAL,86.6,12.53,29.2,1.4,65,8.47,17.87,0.57,62.83,8.03,24.23,0.9,84.07,12.27,43.83,2.53,56,6.27,11.97,0.37,65.93,2.4,287.2,43.8,69.53,3.07,281.47,43.23,69.7,3.27,276.87,42.47,77.53,4.43,254.87,37.8,62.73,1.9,286.57,42.87,67,71.54,67.18,75.01,67.7,104.87,15.63,34.1,1.93,75.6,9.63,15.33,0.37,73.63,9.37,23,0.67,95.23,14.2,42.93,2.13,65.8,7.57,12.73,0.27,60.5,2.33,296.5,46.23,66.9,2.93,289.23,45.13,66.23,2.83,284.7,43.6,74.2,4.57,264.47,39.87,84.8,2.5,250.6,31.8,65.31,70.91,66.76,74.2,67.75
PC08,PORTUGAL,85.43,12.2,29,1.33,64.33,8.37,17.93,0.6,62.13,7.97,24.8,0.97,82.93,11.87,45.5,2.53,55.13,6.13,12,0.33,67.87,2.73,282.77,42.93,70.53,3.17,281.73,43.47,70.63,3.47,275.93,42.2,79.7,4.43,253.67,37.1,63.03,1.83,285.97,42.7,67.15,71.65,67.19,73.86,67.81,103.77,15.47,34,1.93,74.33,9.27,15.6,0.33,72.93,9.13,23.87,0.7,94.33,14.07,45.03,2.4,64.17,7.4,12.47,0.33,62.87,2.57,291.9,45.17,67.17,2.87,287.9,44.77,67.27,2.8,284.13,43.5,75.5,4.47,263.1,39.2,84.63,2.5,249.77,31.27,65.53,71.07,66.8,73.13,67.9
PB21,PORTUGAL,68,9.3,43.17,3.27,31.1,2.3,37.17,2.27,27.73,2.17,44.7,3.1,78.4,11.07,61.8,5.13,48.03,5.1,30.6,1.97,51.4,2.03,305.13,49.2,53.97,1.73,305.8,49.83,55.97,2.07,299.4,48.07,50.43,1.67,304.5,49.63,49.8,1.43,310.67,49.73,63.83,75.28,69.66,74.58,67.02,91.67,14.2,48.57,4.13,48.13,4.33,32.9,1.7,45.17,3.87,43.8,2.8,106.7,16.7,61.43,4.93,66.03,8.57,32.6,2.03,47.07,2.17,313.83,51.6,52.83,1.8,311.8,51.23,54.5,2.3,306.3,49.7,47.63,2,314.07,51.6,75.2,2.27,268.3,34.6,62.12,74.54,69.05,73.25,66.54
PB22,PORTUGAL,98.63,15.9,27.03,1.3,48.83,4.63,25.27,1.07,44.5,4.3,28.9,1.2,82.43,12.07,45.97,3.2,60.23,7.23,18.5,0.8,50.37,1.6,311.4,50,54.9,1.63,306.87,49.77,56.13,1.9,301.67,48.93,53.33,1.83,300.63,48.47,51.1,1.4,308.23,49.17,62.69,72.85,68.06,73.71,65.83,117.23,18.33,30.43,1.47,65.27,7.97,20.6,0.63,61.7,7.3,25.77,0.87,108.3,17.13,42.43,2.4,76.1,10.53,19.53,0.77,44.8,1.57,320.2,52.93,54.5,1.9,312.6,51.27,55,2.13,308.07,50,50.27,2,310.4,50.7,75.93,2.07,267.03,34.23,60.65,72.03,67.38,71.83,65.29
PG11,PORTUGAL,14.43,1,36.77,1.97,7.83,0.5,50.83,3.33,6.9,0.43,48.1,2.83,36.27,3.47,47.23,2.6,4.23,0.1,24.63,1.13,89.37,5.17,237.87,32.27,83.1,4.37,229.5,31.47,83.9,4.43,227.57,31.47,95.63,6.33,213.57,28.23,86.07,5.07,230.63,30.6,72.72,78.84,77.04,82.16,76.44,26.63,2.27,41.63,2.57,15.17,1,53.87,3.57,14.17,0.93,52.47,3.2,51.73,5.63,51.43,3.23,8.13,0.3,27.87,1.17,85.7,4.83,244.63,33.43,81.03,3.47,234.5,31.63,82.23,4.43,230.87,31.4,93.8,6.6,218.93,29.07,105.97,5.13,192.4,21.33,71.95,78.82,77.18,82.26,76.88
PG12,PORTUGAL,14.5,1,36.9,1.9,6.43,0.37,53.93,3.67,5.73,0.33,49.87,2.9,35.67,3.4,45.27,2.57,3.63,0.1,26.17,1.3,93.53,5.47,233.53,31,83.73,4.3,229.07,30.93,84.77,4.5,227.2,31,101.43,6.87,201.2,24.77,88.43,5.27,226.43,29.67,72.24,79.18,77.82,82.05,76.78,26.8,2.27,41.3,2.7,13.27,0.83,57.17,3.87,12.37,0.67,53.37,3.23,51.4,5.63,49.3,3.2,6.83,0.2,29.5,1.37,89.13,4.93,241.1,32.67,81.43,3.57,233.73,30.97,81.8,4.2,230.1,30.93,98.37,6.97,205.73,25.63,108.33,5.4,186.63,20.13,71.49,79.13,77.89,82.11,77.22
PF19,PORTUGAL,18.43,1.2,36.9,1.7,9.93,0.6,45.67,2.83,9.37,0.47,46.63,2.67,30.77,2.77,48.53,2.83,6.63,0.17,21.77,0.9,78.03,4.2,250.3,34.87,82.87,4.37,232.37,31.5,83.67,4.33,231.57,32.63,94.17,6.63,211.43,27.77,81.37,4.17,239.57,32.33,74.48,78.63,76.44,81.19,75.38,30.73,2.67,41.43,2.53,18.33,1.23,48.07,2.77,17.27,1.3,49.73,2.73,41.13,4.17,53,3.37,11.73,0.5,24.27,0.93,75.6,3.83,258.43,36.83,81.6,3.57,238.2,32.73,82.4,4.47,235.07,32.1,93.63,7.1,215.37,28.37,99.07,4.4,204.97,23.63,73.62,78.71,76.62,81.29,75.84
PG10,PORTUGAL,16,1.13,37.27,1.83,9.13,0.6,48.27,3.17,8.3,0.47,47.2,2.83,27.8,2.23,49,2.73,5.13,0.13,22.5,1,83.67,4.87,243.5,33.57,83.4,4.5,230.4,31.1,84,4.5,229.3,32.1,93.93,6.33,215.6,28.63,84.23,4.63,234.3,31.5,73.79,78.57,76.54,81.87,75.9,28.03,2.43,41.57,2.57,17.07,1.13,50.97,3.1,15.97,1.07,51.07,2.9,38.3,3.7,52.83,3.27,9.77,0.47,26.17,1.03,81.37,4.53,251.7,35.57,81.3,3.53,235.23,32.07,82.03,4.33,233.1,31.93,93,6.77,219.6,29.1,103.43,5.07,196.53,21.9,72.97,78.6,76.71,81.98,76.35
PF17,PORTUGAL,31.23,2.6,33.43,1.37,11.53,0.7,40.83,2.43,10.53,0.5,45.17,2.77,43.43,4.6,48.03,2.83,8.2,0.17,19.1,0.77,86.93,4.93,238.7,31.57,81.1,3.97,239.13,33,81.33,4.07,236.77,33.1,96.37,6.8,213.33,27.87,81.83,4.5,241.7,32.9,70.76,79.04,76.5,80.28,75.01,47.33,4.9,38.43,2.27,20.63,1.57,42.6,2.17,19.6,1.67,47.53,2.27,58.13,7.23,51.93,3.27,14.23,0.63,23,0.9,82.03,4.53,248.27,34.47,79.5,3.37,245.63,33.8,81.1,4.07,241.03,33.27,93.77,6.53,217.57,28.37,98.27,4.47,209.57,24.17,69.88,79.17,76.67,80.28,75.45
PF18,PORTUGAL,25.03,2.17,35,1.6,10.5,0.63,43.03,2.57,10.03,0.47,45.57,2.8,33.1,3.1,48.67,2.77,7.67,0.17,20.4,0.9,82.27,4.53,241.97,32.93,81.07,3.83,237.4,32.43,81.87,4,235.67,32.93,95.5,6.77,211.23,27.53,81.37,4.37,241.13,33.03,72.53,79.04,76.71,81.07,75.12,39.17,3.47,39.7,2.43,18.8,1.3,44.7,2.3,18.07,1.4,48.57,2.47,43.67,4.73,52.77,3.37,13.33,0.5,23.43,0.93,79.23,4.2,251.2,35.43,79.63,3.43,243.8,33.5,80.8,3.8,240.17,33.07,93.5,6.87,215.2,28.03,97.53,4.6,208.63,24.33,71.67,79.17,76.9,81.17,75.57
PF15,PORTUGAL,32.67,2.9,33.33,1.47,14.2,0.93,37.33,2.1,13.13,0.8,42.83,2.63,44.43,4.87,49.6,2.87,9.23,0.23,19.37,0.87,89.77,5,242.83,32.67,80.27,3.8,246.5,34.27,80.27,4.17,244.77,34.97,89.43,4.67,247.37,33.87,81.33,4.47,242.3,33.3,70.66,78.68,75.77,80.01,74.81,49.03,5.07,37.9,2.13,23.9,1.87,38.1,1.83,22.77,1.93,45.93,2.13,57.33,7,51.83,3.2,15.5,0.67,22.2,0.8,84.27,4.67,251.87,34.97,77,3.3,253.63,35.63,78.7,3.67,248.4,34.93,84.53,4.03,255.67,35.27,99.27,4.33,208.5,23.77,69.65,78.82,75.88,79.79,75.22
PF16,PORTUGAL,34.83,3.17,32.8,1.4,13.3,0.8,38.43,2.2,12.4,0.7,43.83,2.63,45.87,5.1,48.27,2.83,8.87,0.17,18.63,0.77,88.07,4.67,240.43,31.93,81.37,4.2,240.93,33,82.43,4.33,238.13,33.77,95.73,6.27,220.73,29.23,80.97,4.27,243.67,33.3,69.98,78.68,75.89,79.88,74.9,51.17,5.3,37.83,2.23,22.67,1.87,40.07,2.07,21.7,1.8,46.53,2.17,59.83,7.3,51.4,3.37,15.17,0.63,22.17,0.93,82.9,4.37,250.27,34.5,79.27,3.43,246.7,33.83,81,4.1,242.47,33.8,93,6.07,225.43,29.9,98.13,4.37,211.23,24.43,69.06,78.81,76.04,79.76,75.33
PF13,PORTUGAL,26.8,2.4,35.3,1.73,14.57,1,39.07,2.43,13.33,0.87,45.63,2.63,33.77,3.4,50.43,3.23,9.63,0.27,20.5,1.03,84.5,4.37,252.8,35,81.37,4.1,245.13,34.03,79.93,4.5,245.6,35,94.77,6.5,218.27,28.93,82.27,4.83,241.53,33.17,72.22,78.38,75.51,81.06,74.45,42.73,4.03,40.5,2.53,24.83,2,38.8,1.93,23.87,1.93,49.03,2.77,47.37,5.4,52.4,3.23,16.4,0.77,23.4,0.77,80.47,3.77,261.6,36.97,76.87,3.53,252.13,35.7,79.23,3.87,248.53,35.13,91.47,6.57,223.83,30.17,100.63,4.63,206.93,23.67,71.02,78.46,75.55,80.98,74.85
PF14,PORTUGAL,28.13,2.5,34.03,1.63,14.5,0.97,38,2.07,13.2,0.87,43.6,2.67,37.33,3.9,50.37,3.07,9.3,0.23,20,1.03,88.4,4.67,249.23,34.23,80.63,3.97,244.83,34.1,79.97,4.3,244.33,34.73,94.47,6.03,223.73,29.63,82.47,4.6,241.63,33.23,71.73,78.51,75.63,80.67,74.73,44.7,4.33,38.73,2.2,24.3,1.87,38.3,1.83,23.17,1.9,47.07,2.33,50.27,5.87,52.03,3.17,15.83,0.7,22.7,0.77,83.7,4.33,258,36.17,76.9,3.37,252.4,35.53,79.17,3.73,247.93,34.87,91.23,5.93,229.53,30.6,100.77,4.57,207.2,23.67,70.61,78.63,75.71,80.52,75.13
PF11,PORTUGAL,34.07,3.1,36.07,1.67,17.03,1.2,40.57,2.4,15.63,1.1,49.77,2.93,35.97,3.83,50.57,3.33,11.73,0.33,22.67,1.27,77.9,3.53,251.33,34.43,81.57,4.53,242.27,34.07,81.33,4.9,242.17,34.83,91.2,6.47,220.03,29.87,78.63,4.27,247.77,34.57,70.16,77.55,74.37,80.94,73.4,51.5,5.23,42.13,2.6,27.07,2.4,40.53,2.17,26.7,2.4,53.67,3.13,47.2,5.3,52.53,3.2,19,1.07,25.57,0.93,74.87,3.27,260.63,37.07,77.8,4,249.5,35.67,79.8,4.53,245.83,35.17,90,6.63,223.7,30.4,97.63,4.7,214.4,25.43,68.89,77.52,74.36,80.91,73.79
PF12,PORTUGAL,28.43,2.53,36.1,1.73,14.6,0.97,41.2,2.53,13.5,0.9,47.63,2.8,32.97,3.27,50.87,3.23,10.47,0.27,21.47,1.1,80.17,3.7,252.2,35.03,80.87,4.17,246.6,34.73,79.57,4.6,246.5,35.4,92.17,6.43,220.03,29.77,80.4,4.53,243.87,33.7,71.62,78.28,75.38,81.16,73.94,45,4.4,41.67,2.67,24.93,2.13,40.43,2.1,24.43,2.07,51.5,3.03,44.57,4.9,52.67,3.23,17.33,0.9,24.4,0.87,77,3.6,262.03,37.53,76.17,3.6,254.27,36.43,78.13,3.9,250.2,36,90.27,6.77,225.17,30.87,99.33,4.7,209.57,24.33,70.36,78.3,75.39,81.13,74.33
